timestamp,gx,gy,gz,B,raw,label
1774146145.121854,8.737867,-0.373067,2.2776,9.03753,"8.737867,-0.373067,2.277600,9.037530",touch
1774146145.150026,8.737867,-0.1864,2.283733,9.0333,"8.737867,-0.186400,2.283733,9.033300",touch
1774146145.174807,8.737867,-0.073333,2.2768,9.029923,"8.737867,-0.073333,2.276800,9.029923",touch
1774146145.199462,8.737867,-0.130933,2.273067,9.029634,"8.737867,-0.130933,2.273067,9.029634",touch
1774146145.22409,8.737867,-0.1464,2.274933,9.030342,"8.737867,-0.146400,2.274933,9.030342",touch
1774146145.248757,8.737867,-0.338933,2.2664,9.03337,"8.737867,-0.338933,2.266400,9.033370",touch
1774146145.2770538,8.737867,-0.012533,2.2344,9.019037,"8.737867,-0.012533,2.234400,9.019037",touch
1774146145.321174,8.737867,-0.0128,2.2312,9.018244,"8.737867,-0.012800,2.231200,9.018244",touch
1774146145.3416169,8.737867,-0.3168,2.271733,9.033906,"8.737867,-0.316800,2.271733,9.033906",touch
1774146145.351019,8.737867,-0.428,2.2736,9.038958,"8.737867,-0.428000,2.273600,9.038958",touch
1774146145.375679,8.737867,-0.347467,2.229867,9.024598,"8.737867,-0.347467,2.229867,9.024598",touch
1774146145.4039848,8.737867,-0.393867,2.231467,9.026899,"8.737867,-0.393867,2.231467,9.026899",touch
1774146145.428652,8.737867,-0.197867,2.201067,9.013,"8.737867,-0.197867,2.201067,9.013000",touch
1774146145.453293,8.737867,-0.088533,2.246133,9.022376,"8.737867,-0.088533,2.246133,9.022376",touch
1774146145.478102,8.737867,-0.130933,2.281867,9.031853,"8.737867,-0.130933,2.281867,9.031853",touch
1774146145.502789,8.737867,-0.24,2.277867,9.033083,"8.737867,-0.240000,2.277867,9.033083",touch
1774146145.5310059,8.737867,-0.213867,2.284533,9.034111,"8.737867,-0.213867,2.284533,9.034111",touch
1774146145.555787,8.737867,-0.079467,2.2936,9.034226,"8.737867,-0.079467,2.293600,9.034226",touch
1774146145.58037,8.737867,-0.279467,2.246667,9.026402,"8.737867,-0.279467,2.246667,9.026402",touch
1774146145.605182,8.737867,-0.332533,2.285867,9.038036,"8.737867,-0.332533,2.285867,9.038036",touch
1774146145.629951,8.737867,-0.398933,2.2432,9.030029,"8.737867,-0.398933,2.243200,9.030029",touch
1774146145.691069,8.737867,-0.357867,2.235467,9.02639,"8.737867,-0.357867,2.235467,9.026390",touch
1774146145.6916962,8.737867,-0.1896,2.287733,9.034379,"8.737867,-0.189600,2.287733,9.034379",touch
1774146145.713744,8.737867,-0.08,2.284533,9.031933,"8.737867,-0.080000,2.284533,9.031933",touch
1774146145.7319,8.737867,-0.097067,2.2848,9.032168,"8.737867,-0.097067,2.284800,9.032168",touch
1774146145.756577,8.737867,-0.219467,2.273867,9.031554,"8.737867,-0.219467,2.273867,9.031554",touch
